"almanakId", "name", "comment"
"1", "Algemene Rekenkamer", ""
"2", "Bureau-organisatie", "Algemene Rekenkamer - "
"25", "Directie II", "Algemene Rekenkamer - Bureau-organisatie - "
"123", "Algemene Zaken", ""
"269", "Kabinet Minister-President", "Algemene Zaken - "
"312", "Eerste Kamer der Staten-Generaal", ""
"63106", "Griffier", "Eerste Kamer der Staten-Generaal - "
"616", "Hoge Raad van Adel", ""
"617", "Leden", "Hoge Raad van Adel - "
"623", "ICTU", ""
"686", "Kabinet van de Koning", ""
"695", "Stafbureau", "Kabinet van de Koning - "
"704", "Kanselarij der Nederlandse Orden", ""
"130332", "Voorlichting en PR", "Kanselarij der Nederlandse Orden - "
"1923", "Ministers van Staat", ""
"1924", "Nationale ombudsman", ""
"1950", "Ambtsdragers", "Nationale ombudsman - "
"2515", "Buitenlandse Zaken", ""
"2516", "Algemene leiding/Bestuur", "Buitenlandse Zaken - "
"2517", "Algemene Leiding", "Buitenlandse Zaken - Algemene leiding/Bestuur - "
"2551", "Secretaris-Generaal", "Buitenlandse Zaken - Algemene leiding/Bestuur - Algemene Leiding - "
"4958", "Defensie", ""
"6776", "Ministerie", "Defensie - "
"6835", "Onderwijs, Cultuur en Wetenschap", ""
"8591", "Volksgezondheid, Welzijn en Sport", ""
"8592", "Algemene Leiding / Bestuur", "Volksgezondheid, Welzijn en Sport - "
"9632", "Binnenlandse Zaken en Koninkrijksrelaties", ""
"9659", "Algemene leiding", "Binnenlandse Zaken en Koninkrijksrelaties - "
"99056", "Bewindspersonen en Algemene Leiding ", "Binnenlandse Zaken en Koninkrijksrelaties - Algemene leiding - "
"10613", "Carnegie Stichting", ""
"10621", "Economische Zaken", ""
"90396", "Algemene Leiding", "Economische Zaken - "
"11906", "Ministerie van Veiligheid en Justitie", ""
"12368", "PSG cluster", "Ministerie van Veiligheid en Justitie - "
"12414", "Directie Financieel-Economische Zaken", "Ministerie van Veiligheid en Justitie - PSG cluster - "
"12415", "Afdeling Begroting & Strategie", "Ministerie van Veiligheid en Justitie - PSG cluster - Directie Financieel-Economische Zaken - "
"14289", "Samenwerkingsorganen", ""
"62423", "Euregio Maas-Rijn", "Samenwerkingsorganen - "
"14557", "Provincie Drenthe", ""
"67286", "Commissaris van de Koning", "Provincie Drenthe - "
"14866", "Provincie Flevoland", ""
"14867", "Commissaris van de Koning", "Provincie Flevoland - "
"15184", "Provincie Fryslân", ""
"58730", "Provinciale organisatie", "Provincie Fryslân - "
"58731", "Directie", "Provincie Fryslân - Provinciale organisatie - "
"58737", "Concerncontrol", "Provincie Fryslân - Provinciale organisatie - Directie - "
"15185", "Provincie Gelderland", ""
"15632", "Provincie Groningen", ""
"15633", "Commissaris van de Koning", "Provincie Groningen - "
"15956", "Interprovinciaal Overleg", ""
"15957", "Bestuur", "Interprovinciaal Overleg - "
"15958", "Adviescommissie Bestuur", "Interprovinciaal Overleg - Bestuur - "
"16071", "Provincie Limburg", ""
"16317", "Provincie Noord-Brabant", ""
"16404", "Statencommissies", "Provincie Noord-Brabant - "
"16408", "Rekeningcommissie", "Provincie Noord-Brabant - Statencommissies - "
"16412", "Provincie Noord-Holland", ""
"16413", "Commissaris van de Koning", "Provincie Noord-Holland - "
"16771", "Provincie Overijssel", ""
"16772", "Commissaris van de Koning", "Provincie Overijssel - "
"17166", "Provincie Utrecht", ""
"64582", "Provinciale Statengriffie", "Provincie Utrecht - "
"17466", "Provincie Zuid-Holland", ""
"17467", "Commissaris van de Koning", "Provincie Zuid-Holland - "
"18166", "Provincie Zeeland", ""
"18167", "Commissaris van de Koning", "Provincie Zeeland - "
"18404", "Regering", ""
"18405", "Gevolmachtigde Ministers", "Regering - "
"18417", "Rechtswezen - Hoge Raad der Nederlanden", ""
"18490", "Rechtswezen - Rechtspraak", ""
"18491", "Gerechtshoven", "Rechtswezen - Rechtspraak - "
"18498", "Gerechtshof Amsterdam", "Rechtswezen - Rechtspraak - Gerechtshoven - "
"18558", "Rechtswezen - Raad voor de Rechtspraak", ""
"18559", "Bedrijfsvoering", "Rechtswezen - Raad voor de Rechtspraak - "
"18595", "Raad van State", ""
"92654", "directie Bestuursrechtspraak", "Raad van State - "
"65010", "directie Bestuursrechtspraak", "Raad van State - directie Bestuursrechtspraak - "
"19087", "Sociale zaken en Werkgelegenheid", ""
"57830", "Agentschap SZW", "Sociale zaken en Werkgelegenheid - "
"19432", "Tweede Kamer der Staten-Generaal", ""
"118718", "Kamer", "Tweede Kamer der Staten-Generaal - "
"97117", "VVD", "Tweede Kamer der Staten-Generaal - Kamer - "
"21098", "Waterschappen", ""
"21099", "Aa en Maas (Waterschap)", "Waterschappen - "
"41915", "groups", ""
"41916", "Waterschappen", "groups - "
"59421", "ou= Staf Directie Bedrijfsvoering, Financiën en P&O", ""
"68820", "Financiën", ""
"68821", "Algemene Leiding", "Financiën - "
"69746", "Campagnemanagemenentou=Dienst Publiek en Communicatie", ""
"70587", "ou= Staf Directie Bedrijfsvoering, Financi???n en P&O", ""
"70625", "Zelfstandige Bestuursorganen", ""
"133814", "Onderzoeksraad voor veiligheid", "Zelfstandige Bestuursorganen - "
"71852", "Onderwijs, Cultuur en Wetenschap", ""
"71977", "Externe Advies Colleges", "Onderwijs, Cultuur en Wetenschap - "
"128586", "College voor Toetsen en Examens", "Onderwijs, Cultuur en Wetenschap - Externe Advies Colleges - "
"128592", "Sector VO-VMBO", "Onderwijs, Cultuur en Wetenschap - Externe Advies Colleges - College voor Toetsen en Examens - "
"96682", "ou=VVD", ""
"112011", "Algemene Zaken", ""
"112012", "Kabinet Minister-President", "Algemene Zaken - "
"112013", "Secretariaat Ministerraad", "Algemene Zaken - Kabinet Minister-President - "
"112773", "Infrastructuur en Milieu", ""
"112991", "Inspectie Leefomgeving en Transport", "Infrastructuur en Milieu - "
"118697", "Kabinet van de Koning", ""
"118698", "Stafbureau", "Kabinet van de Koning - "
