Domain Name,Domain Type,Agency
aaenmaas.nl,Waterschap,Waterschap Aa en Maas
agv.nl,Waterschap,"Waterschap Amstel, Gooi en Vecht"
brabantsedelta.nl,Waterschap,Waterschap Brabantse Delta
dommel.nl,Waterschap,Waterschap De Dommel
hdsr.nl,Waterschap,Hoogheemraadschap De Stichtse Rijnlanden
hhdelfland.nl,Waterschap,Hoogheemraadschap van Delfland
wdodelta.nl,Waterschap,Waterschap Drents Overijsselse Delta
hhnk.nl,Waterschap,Hoogheemraadschap Hollands-Noorderkwartier
wshd.nl,Waterschap,Waterschap Hollandse Delta
hunzeenaas.nl,Waterschap,Waterschap Hunze en Aa's
noorderzijlvest.nl,Waterschap,Waterschap Noorderzijlvest
wpm.nl,Waterschap,Waterschap Peel en Maasvallei
wrij.nl,Waterschap,Waterschap Rijn en Ijssel
rijnland.net,Waterschap,Hoogheemraadschap van Rijnland
waterschaprivierenland.nl,Waterschap,Waterschap Rivierenland
overmaas.nl,Waterschap,Waterschap Roer en Overmaas
scheldestromen.nl,Waterschap,Waterschap Scheldestromen
hhsk.nl,Waterschap,Hoogheemraadschap van Schieland en de Krimpenerwaard
vallei-veluwe.nl,Waterschap,Waterschap Vallei en Veluwe
vechtstromen.nl,Waterschap,Waterschap Vechtstromen
wetterskipfryslan.nl,Waterschap,Wetterskip Fryslan
zuiderzeeland.nl,Waterschap,Waterschap Zuiderzeeland
provincie.drenthe.nl/,Provincie,Provincie Drenthe
flevoland.nl/,Provincie,Provincie Flevoland
fryslan.frl/,Provincie,Provincie Fryslan
gelderland.nl/,Provincie,Provincie Gelderland
provinciegroningen.nl/,Provincie,Provincie Groningen
limburg.nl/,Provincie,Provincie Limburg
brabant.nl/,Provincie,Provincie Noord-Brabant
noord-holland.nl/,Provincie,Provincie Noord-Holland
overijssel.nl/,Provincie,Provincie Overijssel
provincie-utrecht.nl/,Provincie,Provincie Utrecht
zeeland.nl/,Provincie,Provincie Zeeland
zuid-holland.nl/,Provincie,Provincie Zuid-Holland
passievoorpubliekeverantwoording.nl,Rijksoverheid,Algemene Rekenkamer
rekenkamer.net,Rijksoverheid,Algemene Rekenkamer
rekenkamer.nl,Rijksoverheid,Algemene Rekenkamer
rekenkamer.org,Rijksoverheid,Algemene Rekenkamer
checkjeschoolgebouw.nl,Rijksoverheid,Algemene Rekenkamer
eu-verantwoording.nl,Rijksoverheid,Algemene Rekenkamer
magazines.algemenerekenkamer.nl,Rijksoverheid,Algemene Rekenkamer
eerstekamer.nl,Rijksoverheid,Eerste Kamer
communicatierijk.nl,Rijksoverheid,Ministerie Algemene Zaken
ctivd.nl,Rijksoverheid,Ministerie Algemene Zaken
english.kabinetvandekoning.nl,Rijksoverheid,Ministerie Algemene Zaken
government.nl,Rijksoverheid,Ministerie Algemene Zaken
kabinetvandekoning.nl,Rijksoverheid,Ministerie Algemene Zaken
koninklijkhuis.nl,Rijksoverheid,Ministerie Algemene Zaken
magazines.rijksoverheid.nl,Rijksoverheid,Ministerie Algemene Zaken
mediatheekrijksoverheid.nl,Rijksoverheid,Ministerie Algemene Zaken
platformrijksoverheiddemo.nl,Rijksoverheid,Ministerie Algemene Zaken
rijkshuisstijl.nl,Rijksoverheid,Ministerie Algemene Zaken
rijksoverheid.nl,Rijksoverheid,Ministerie Algemene Zaken
roomie.nl,Rijksoverheid,Ministerie Algemene Zaken
signalentest.nl,Rijksoverheid,Ministerie Algemene Zaken
staatsieportretten-bestellen.nl,Rijksoverheid,Ministerie Algemene Zaken
wrr.nl,Rijksoverheid,Ministerie Algemene Zaken
adviespuntklokkenluiders.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
agendastad.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
aivd.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
aivdhackathon.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
aivdkennisbank.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
algemenebestuursdienst.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
almanak.zboregister.overheid.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
arbeidenoverheid.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
architectenregister.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
benchmarkrijk.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
biedboek.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
bureaugateway.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
cfv.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
challengestad.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
collegevanrijksadviseurs.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
data.overheid.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
datawonen.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
deleerkaart.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
digicommissaris.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
digid.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
digitaleoverheid.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
e-overheid.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
earonline.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
eid-stelsel.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
evaluationdutchcaribbean.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
evenementenrijk.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
ezinesbr.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
flitspanel.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
forumstandaardisatie.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
functiegebouwrijksoverheid.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
gerechtelijkebrief.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
gerechtelijkebrieven.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
gewoontoegankelijk.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
gorrijk.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
grotestedenbeleid.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
handelingenbank.info,Rijksoverheid,Ministerie Binnenlandse Zaken
helpdeskbouwregels.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
herbestemmingsoestdijk.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
huurcommissie.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
i-interimrijk.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
ibestuurcongres.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
ibewustzijnoverheid.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
ictu.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
idensys.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
integriteitoverheid.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
internetspiegel.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
investingindutchhousing.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
ipkd.eu,Rijksoverheid,Ministerie Binnenlandse Zaken
ipkd.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
kennisopenbaarbestuur.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
kiesraad.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
kleinlef.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
koop.overheid.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
leefbaarometer.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
lintjes.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
logius.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
m.werkenvoornederland.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
magazine.forumstandaardisatie.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
magazines.p-direkt.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
magazines.rijksvastgoedbedrijf.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
magazinesintern.rijksvastgoedbedrijf.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
mijn.overheid.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
motrainingen.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
newtoholland.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
nieuwbouweurojust.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
nlvalidatie.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
onderzoeksraadintegriteitoverheid.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
operatiebrp.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
overheid.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
p-direkt.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
planmonitorwonen.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
referentiegrootboekschema.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
regioatlas.nl,Rijksoverheid,Ministerie Binnenlandse Zaken
rijksdienstcn.com,Rijksoverheid,Ministerie Binnenlandse Zaken
