Domain Name,Domain Type,Agency
knmi.nl,Rijksoverheid,Ministerie van Infrastructuur en Milieu
uwv.nl,Rijksoverheid,Ministerie van Sociale Zaken en Werkgelegenheid
rijksoverheid.nl,Rijksoverheid,Ministerie van Algemene Zaken
belastingdienst.nl,Rijksoverheid,Ministerie van Financiën
werk.nl,Rijksoverheid,Ministerie van Sociale Zaken en Werkgelegenheid
kvk.nl,Rijksoverheid,Ministerie van Economische Zaken
overheid.nl,Rijksoverheid,Ministerie van Binnenlandse Zaken
duo.nl,Rijksoverheid,"Ministerie van Onderwijs, Cultuur en Wetenschap"
politie.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
koninklijkhuis.nl,Rijksoverheid,Ministerie van Algemene Zaken
defensie.nl,Rijksoverheid,Ministerie van Defensie
kadaster.nl,Rijksoverheid,Ministerie van Infrastructuur en Milieu
rechtspraak.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
svb.nl,Rijksoverheid,Ministerie van Sociale Zaken en Werkgelegenheid
rijksbegroting.nl,Rijksoverheid,Ministerie van Financiën
higherlevel.nl,Rijksoverheid,Ministerie van Economische Zaken
rijkswaterstaat.nl,Rijksoverheid,Ministerie van Infrastructuur en Milieu
vananaarbeter.nl,Rijksoverheid,Ministerie van Infrastructuur en Milieu
werkenbijdefensie.nl,Rijksoverheid,Ministerie van Defensie
cbs.nl,Rijksoverheid,Ministerie van Economische Zaken
gahetna.nl,Rijksoverheid,"Ministerie van Onderwijs, Cultuur en Wetenschap"
government.nl,Rijksoverheid,Ministerie van Algemene Zaken
amberalertnederland.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
crisis.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
mijnpolitie.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
om.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
werkenvoornederland.nl,Rijksoverheid,Ministerie van Binnenlandse Zaken
acm.nl,Rijksoverheid,Ministerie van Economische Zaken
consuwijzer.nl,Rijksoverheid,Ministerie van Economische Zaken
rivm.nl,Rijksoverheid,"Ministerie van Volksgezondheid, Welzijn en Sport"
afm.nl,Rijksoverheid,Ministerie van Financiën
rijkshuisstijl.nl,Rijksoverheid,Ministerie van Algemene Zaken
domeinenrz.nl,Rijksoverheid,Ministerie van Financiën
staatsbosbeheer.nl,Rijksoverheid,Ministerie van Economische Zaken
nvwa.nl,Rijksoverheid,Ministerie van Economische Zaken
justis.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
tno.nl,Rijksoverheid,Ministerie van Economische Zaken
digid.nl,Rijksoverheid,Ministerie van Binnenlandse Zaken
uganda.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
ind.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
dji.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
cjib.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
rsonac.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
dnb.nl,Rijksoverheid,Ministerie van Financiën
incidentmanagement.nl,Rijksoverheid,Ministerie van Infrastructuur en Milieu
cpb.nl,Rijksoverheid,Ministerie van Economische Zaken
veva.nl,Rijksoverheid,Ministerie van Defensie
arboportaal.nl,Rijksoverheid,Ministerie van Sociale Zaken en Werkgelegenheid
inspectieszw.nl,Rijksoverheid,Ministerie van Sociale Zaken en Werkgelegenheid
inburgeren.nl,Rijksoverheid,"Ministerie van Onderwijs, Cultuur en Wetenschap"
e-overheid.nl,Rijksoverheid,Ministerie van Binnenlandse Zaken
deutschland.nlbotschaft.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
cultureelerfgoed.nl,Rijksoverheid,"Ministerie van Onderwijs, Cultuur en Wetenschap"
nationaalarchief.nl,Rijksoverheid,"Ministerie van Onderwijs, Cultuur en Wetenschap"
logius.nl,Rijksoverheid,Ministerie van Binnenlandse Zaken
unitedkingdom.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
alertonline.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
coa.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
rvr.org,Rijksoverheid,Ministerie van Veiligheid en Justitie
pbl.nl,Rijksoverheid,Ministerie van Infrastructuur en Milieu
data.overheid.nl,Rijksoverheid,Ministerie van Binnenlandse Zaken
infomil.nl,Rijksoverheid,Ministerie van Infrastructuur en Milieu
wodc.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
erasmushuis-in.nlmission.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
zakendoeninchina.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
kinderbescherming.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
thailand.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
werkenbijdeeu.nl,Rijksoverheid,Ministerie van Buitenlandse Zaken
erasmushuis.nlvertegenwoordiging.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
colombia.nlembajada.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
noordzeeloket.nl,Rijksoverheid,Ministerie van Infrastructuur en Milieu
